"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"9030",1999,"1999_MG","1999_MG_7407","MG","7407",22,"PL",20.54545455,19.2,33.5,"AT",1.681818182,19,3,"HE",4,1,0,0.318181818,1985,1303.68799348968,1303.68799348968,0,"RBNU","4","99111_1999","selected"
"9031",1999,"1999_SD","1999_SD_7409","SD","7409",35,"AT",20.3,20.7,27,"AT",1.628571429,31,4,"HE",0,0,0,0.971428571,1985,764.069744832902,0,0,"RNSA","U","99112_1999","selected"
"9032",1999,"1999_CH98","1999_CH98_7618","CH98","7618",40,"PL",22.36,20.95,41,"PL",2.175,25,15,"BI",6,0,0,0.463414634,1985,1518.82263835463,12,0,"TRES","U","99113_1999","selected"
"9033",1999,"1999_SD","1999_SD_7124","SD","7124",9,"AT",17.77777778,17.6,24.9,"AT",3.222222222,3,6,"BI",0,0,0,1,1985,176.6492007744,0,0,"NOFL","7","99114_1999","selected"
"9034",1999,"1999_SDOFF","1999_SDOFF_7748","SDOFF","7748",31,"AT",21.91935484,22.4,48.4,"PL",1.838709677,24,7,"BI",2,0,0,0.806451613,1985,174.091935272774,174.091935272774,0,"MOCH","U","99115_1999","selected"
"9035",1999,"1999_RL","1999_RL_7676","RL","7676",14,"AT",21.3,20.3,37,"FD",1.785714286,11,3,"HE",1,0,0,0.571428571,1987,1681.11545240709,460,0,"MOCH","U","99116_1999","selected"
"9036",1999,"1999_RCOFF","1999_RCOFF_7417","RCOFF","7417",12,"AT",19.43333333,19.6,21.9,"AT",1.75,11,1,"BI",0,0,0,1,1987,1842.42246738894,35,0,"MOCH","U","99117_1999","selected"
"9037",1999,"1999_SC","1999_SC_7168","SC","7168",26,"AT",25.51153846,24.1,44.9,"AT",1.846153846,19,7,"HE",0,0,0,1,1988,1776.80373187785,20,0,"EUST","U","99118_1999","selected"
"9038",1999,"1999_SC","1999_SC_7275","SC","7275",3,"AT",35.73333333,34.8,40.4,"AT",2.333333333,2,1,"BI",0,0,0,1,1988,1056.03923364095,10,0,"EUST","U","99119_1999","selected"
"9039",1999,"1999_SC","1999_SC_7332","SC","7332",21,"AT",26.37619048,25.2,41.1,"AT",2.476190476,13,8,"BI",0,0,0,1,1988,1747.72448552862,13,0,"RNSA","U","99120_1999","selected"
"9040",1999,"1999_SC","1999_SC_7111","SC","7111",16,"AT",25.2625,24.3,44.3,"AT",2.9375,7,9,"BI",0,0,0,0.75,1988,1608.66157891371,16,0,"MOCH","U","99121_1999","selected"
"9041",1999,"1999_SC","1999_SC_7110","SC","7110",29,"AT",25.55862069,25,41.1,"AT",2.655172414,16,13,"BI",0,0,0,1,1988,1739.11859296044,15,0,"TRES","U","99122_1999","selected"
"9042",1999,"1999_SP","1999_SP_7666","SP","7666",14,"AT",23,23.3,37.4,"PL",1.642857143,12,2,"BI",0,0,0,0.714285714,1991,280.760183551964,280.760183551964,0,"MOCH","U","99123_1999","selected"
"9043",1999,"1999_SDOFF","1999_SDOFF_7746","SDOFF","7746",22,"AT",29.29545455,29.2,42.1,"AT",2.636363636,9,13,"BI",0,0,0,0.954545455,1985,899.139835898395,899.139835898395,0,"NOFL","4","99124_1999","selected"
